date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-09,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-09,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-09,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-09,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-09,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-09,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-10,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-11,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-12,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-13,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-14,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-15,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-16,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-17,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-18,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-19,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-20,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-21,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-22,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-23,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-24,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-25,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-26,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Additional 50% Reduction,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Maintain Status Quo,Peru,PER,2020-06-21,v3
2020-01-27,Rt,2.55983171765288,2.69892513919191,2.79874654679159,2.79342479062727,2.90684017955848,3.01920939101172,Surged Relax Interventions 50%,Peru,PER,2020-06-21,v3
2020-01-28,Rt,2.5299992612249,2.71492217635432,2.80898269391067,2.78682732422046,2.87181064037869,3.01877376633689,Additional 50% Reduction,Peru,PER,2020-06-21,v3
