date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-05,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-06,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-07,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-08,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-09,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-10,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-11,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-12,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-13,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-14,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-15,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-16,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-17,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-18,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-19,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-20,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-21,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-22,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-23,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-24,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-25,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-26,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-27,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
2020-01-27,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Maintain Status Quo,Egypt,EGY,2020-06-21,v3
2020-01-27,Rt,2.92624334422761,3.13919438341265,3.24412888327408,3.29032597726374,3.35077677108016,4.0322938346504,Relax Interventions 50%,Egypt,EGY,2020-06-21,v3
2020-01-27,Rt,2.92973667159424,3.16006173092846,3.2677791501002,3.33333256688986,3.35954012990561,4.38623096196718,Surged Additional 50% Reduction,Egypt,EGY,2020-06-21,v3
