date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-05,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-05,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-05,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-05,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-06,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-07,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-08,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-09,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-10,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-11,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-12,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-13,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-14,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-15,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-16,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-17,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-18,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-19,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-20,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-21,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-22,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-23,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-24,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-25,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-26,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-27,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-27,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Maintain Status Quo,Colombia,COL,2020-06-21,v3
2020-01-27,Rt,2.83862043575441,2.9482786964347,3.03759139254521,3.09195364565836,3.17639292675006,3.79977018047168,Relax Interventions 50%,Colombia,COL,2020-06-21,v3
2020-01-27,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Additional 50% Reduction,Colombia,COL,2020-06-21,v3
2020-01-27,Rt,2.83812883944921,2.94511711123557,3.05020169865081,3.08953517284233,3.1938873550032,3.50506092220111,Surged Maintain Status Quo,Colombia,COL,2020-06-21,v3
