date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version
2020-01-03,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-03,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-04,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-05,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-06,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-07,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-08,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-09,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-10,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-11,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-12,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-13,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-14,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-15,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-16,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-17,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-18,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-19,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-20,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-21,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-22,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-23,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-24,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-25,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.58920714566336,1.82894769164853,2.083158994836,2.22566226112596,2.48564890166292,3.50728391890474,Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Additional 50% Reduction,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Maintain Status Quo,Cabo Verde,CPV,2020-06-21,v3
2020-01-26,Rt,1.59867599058008,1.86649798758223,2.14361629386702,2.24503443540431,2.46522959391026,3.67879866622833,Surged Relax Interventions 50%,Cabo Verde,CPV,2020-06-21,v3
